count,track_name,timing,track_id,artist,album,acousticness,danceability,instrumentalness,liveness,loudness,tempo
155,The Night We Met,0,3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,0.969,0.544,0.279,0.639,-9.514,87.01
156,Love Is A Losing Game,0,3uliGwmB52ZA7brgpZMzyH,Amy Winehouse,Back To Black (Deluxe Edition),0.337,0.484,0.00627,0.146,-16.544,165.008
157,Where's My Love,0,1B62o4CbdL9ckGvwsz2cgn,SYML,SYML,0.868,0.604,0.0343,0.112,-10.109,103.985
158,Hometown Glory,1,3rWRug4G3BjW33bxFwrEr9,Adele,Hometown Glory,0.963,0.482,0.000906,0.117,-10.956,122.546
159,Lights Are On,0,4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,Z-Sides,0.981,0.44,0.465,0.111,-16.887,135.965
160,Liability,0,6Kkt27YmFyIFrcX3QXFi2o,Lorde,Melodrama,0.92,0.587,0,0.1,-11.254,75.67
161,Cinnamon Girl,0,2mdEsXPu8ZmkHRRtAdC09e,Lana Del Rey,Norman Fucking Rockwell!,0.814,0.294,0.414,0.14,-10.614,91.781
162,ocean eyes,0,7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,dont smile at me,0.816,0.511,0.0317,0.084,-7.65,144.892
163,Keep Driving,1,2NcQic8JxdjAlAHuNbOIRE,Harry Styles,Harry's House,0.321,0.721,0.00156,0.182,-9.669,164.948
164,Ophelia,1,5NORWMFC27ywGSZxi8uquP,The Lumineers,Cleopatra,0.613,0.664,0.000363,0.0857,-6.519,76.023
165,Those Eyes,0,2psRActEWsTlYYd7EDoyVR,New West,Based On A True Story...,0.698,0.593,3.55E-05,0.293,-8.27,120.01
166,Oh My God,1,3Kkjo3cT83cw09VJyrLNwX,Adele,30,0.091,0.534,0,0.0264,-3.906,88.098
167,Don't Know Why,1,1zNXF2svmdlNxfS5XeNUgr,Norah Jones,Come Away With Me (Super Deluxe Edition),0.851,0.745,1.80E-05,0.0678,-11.216,88.609
168,everything i wanted,1,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,0.902,0.704,0.657,0.106,-14.454,120.006
169,Glimpse of Us,0,4ewazQLXFTDC8XvCbhvtXs,Joji,SMITHEREENS,0.891,0.44,4.78E-06,0.141,-9.258,169.914
170,Let's Fall in Love for the Night,1,6I0KEvFfWszVJiCy5hum4V,FINNEAS,Blood Harmony,0.802,0.737,0,0.171,-7.941,127.918
171,Chasing Pavements,1,0Z5ok0QLLttAKsujOZYOXf,Adele,19,0.291,0.616,0,0.111,-6.092,80.03
172,Anti-Hero,1,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Midnights,0.13,0.637,1.80E-06,0.142,-6.571,97.008
173,You Know I'm No Good,1,0DMRKqrpd0QO4RWiEdMib0,Amy Winehouse,Back To Black (Deluxe Edition),0.0139,0.694,0.00356,0.0644,-14.222,103.372
174,lovely (with Khalid),0,0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),0.934,0.351,0,0.095,-10.109,115.284
175,Young And Beautiful,0,2nMeu6UenVvwUktBCpLMK9,Lana Del Rey,Young And Beautiful,0.262,0.324,3.69E-05,0.11,-8.92,113.986
176,Million Years Ago,0,2qBmtZnPSQouvADmqaHKxk,Adele,25,0.742,0.72,0,0.11,-7.623,105.929
177,Still Don't Know My Name,1,6N22FZs2ZhPBYi3b9XPajV,Labrinth,Euphoria (Original Score from the HBO Series),0.471,0.316,0.262,0.205,-5.963,89.643
178,When You're Gone,1,0U1W2LZVUX7qTm7dDpqxh6,Shawn Mendes,When You're Gone,0.0248,0.603,0,0.583,-5.805,147.148
179,July,1,6J2LdBN97cDWn0MLxYh9HB,Noah Cyrus,THE END OF EVERYTHING,0.868,0.708,0,0.0779,-8.953,72.541
180,watch,1,7eB1V5LvAdxCc7brfGhRRo,Billie Eilish,dont smile at me,0.333,0.441,0.00198,0.103,-8.985,165.212
181,Right As Rain,1,6OLudcGaT6HQ5bXH54kI8i,Adele,19,0.773,0.842,0,0.0891,-5.876,137.2
182,Us,1,16XiTUC2rQvb5lmtOm3FYY,James Bay,Electric Light,0.177,0.559,1.50E-06,0.108,-4.147,69.973
