,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
63,The Lumineers,Cleopatra,Ophelia,5NORWMFC27ywGSZxi8uquP,0.613,0.664,0.573,0.000363,0.0857,-6.519,76.023,0.566
64,New West,Based On A True Story...,Those Eyes,2psRActEWsTlYYd7EDoyVR,0.698,0.593,0.354,3.55e-05,0.293,-8.27,120.01,0.241
65,Adele,30,Oh My God,3Kkjo3cT83cw09VJyrLNwX,0.091,0.534,0.725,0.0,0.0264,-3.906,88.098,0.55
66,Norah Jones,Come Away With Me (Super Deluxe Edition),Don't Know Why,1zNXF2svmdlNxfS5XeNUgr,0.851,0.745,0.219,1.8e-05,0.0678,-11.216,88.609,0.635
67,Billie Eilish,everything i wanted,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,0.902,0.704,0.225,0.657,0.106,-14.454,120.006,0.243
68,Joji,SMITHEREENS,Glimpse of Us,4ewazQLXFTDC8XvCbhvtXs,0.891,0.44,0.317,4.78e-06,0.141,-9.258,169.914,0.268
69,FINNEAS,Blood Harmony,Let's Fall in Love for the Night,6I0KEvFfWszVJiCy5hum4V,0.802,0.737,0.408,0.0,0.171,-7.941,127.918,0.374
70,Adele,19,Chasing Pavements,0Z5ok0QLLttAKsujOZYOXf,0.291,0.616,0.47,0.0,0.111,-6.092,80.03,0.325
71,Taylor Swift,Midnights,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,97.008,0.533
72,Amy Winehouse,Back To Black (Deluxe Edition),You Know I'm No Good,0DMRKqrpd0QO4RWiEdMib0,0.0139,0.694,0.496,0.00356,0.0644,-14.222,103.372,0.799
73,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,0.296,0.0,0.095,-10.109,115.284,0.12
74,Lana Del Rey,Young And Beautiful,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,0.262,0.324,0.416,3.69e-05,0.11,-8.92,113.986,0.151
75,Adele,25,Million Years Ago,2qBmtZnPSQouvADmqaHKxk,0.742,0.72,0.274,0.0,0.11,-7.623,105.929,0.179
76,Labrinth,Euphoria (Original Score from the HBO Series),Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,0.471,0.316,0.63,0.262,0.205,-5.963,89.643,0.313
77,Shawn Mendes,When You're Gone,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,0.0248,0.603,0.691,0.0,0.583,-5.805,147.148,0.577
78,Noah Cyrus,THE END OF EVERYTHING,July,6J2LdBN97cDWn0MLxYh9HB,0.868,0.708,0.186,0.0,0.0779,-8.953,72.541,0.322
79,Billie Eilish,dont smile at me,watch,7eB1V5LvAdxCc7brfGhRRo,0.333,0.441,0.599,0.00198,0.103,-8.985,165.212,0.35
80,Adele,19,Right As Rain,6OLudcGaT6HQ5bXH54kI8i,0.773,0.842,0.679,0.0,0.0891,-5.876,137.2,0.918
81,James Bay,Electric Light,Us,16XiTUC2rQvb5lmtOm3FYY,0.177,0.559,0.473,1.5e-06,0.108,-4.147,69.973,0.341
82,Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),I’m Tired (with Zendaya) - Bonus Track,30XBkzzcubUJLANeXM4D0C,0.651,0.375,0.133,0.0,0.0695,-10.624,131.721,0.192
83,Taylor Swift,evermore (deluxe version),right where you left me - bonus track,3zwMVvkBe2qIKDObWgXw4N,0.769,0.581,0.619,0.000106,0.117,-6.524,137.915,0.645
84,Lana Del Rey,Norman Fucking Rockwell!,Happiness is a butterfly,3lG6OtGDsYAOALxEmubQQm,0.969,0.467,0.119,1.4e-06,0.0973,-10.99,70.499,0.156
85,Billie Eilish,dont smile at me,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,0.737,0.483,0.412,0.0,0.116,-8.461,170.163,0.247
86,Adele,19,Daydreamer,3FYqKyAKIB4mCygIFc1IYn,0.964,0.807,0.105,0.0,0.103,-13.188,109.014,0.372
87,Julia Michaels,Inner Monologue Part 1,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,0.662,0.516,0.467,0.0,0.0853,-6.184,132.861,0.386
88,Stephen Sanchez,Easy On My Eyes,Until I Found You,6VhuP99TE6gYNQRJIlAWFD,0.757,0.346,0.5,0.0,0.189,-6.097,202.466,0.191
89,Taylor Swift,reputation,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,135.917,0.193
90,Sleeping At Last,"Covers, Vol. 2",Already Gone,5zCunX8URvLoBHlg1Fnjv6,0.954,0.418,0.248,4.21e-06,0.108,-9.997,130.953,0.298
91,Billie Eilish,Bellyache,bellyache,51NFxnQvaosfDDutk0tams,0.46,0.695,0.573,0.0734,0.482,-8.597,99.939,0.408
92,Adele,19,Crazy For You,2L1zGWSV5udDZlW668nRtA,0.91,0.707,0.139,0.0,0.105,-12.3,85.868,0.323
93,Selena Gomez,My Mind & Me,My Mind & Me,0XER3HPMx223xWaAgNKp4Y,0.566,0.6,0.389,0.0,0.0826,-5.727,143.577,0.244
94,Coldplay,Parachutes,Sparks,7D0RhFcb3CrfPuTJ0obrod,0.748,0.371,0.268,0.0517,0.104,-10.506,102.617,0.165
95,Shawn Mendes,Wonder,Wonder,6ZuahEctZD6w75peme58hm,0.136,0.442,0.631,2.29e-05,0.133,-5.096,139.774,0.129
96,Katy Perry,Teenage Dream: The Complete Confection,Part Of Me,1nZzRJbFvCEct3uzu04ZoL,0.000417,0.678,0.918,0.0,0.0744,-4.63,130.028,0.769
97,Billie Eilish,Bored,Bored,04sN26COy28wTXYj3dMoiZ,0.896,0.614,0.318,0.00239,0.0795,-12.695,119.959,0.112
98,Noah Cyrus,THE END OF EVERYTHING,Lonely,6U1iuA5QfzYRPJxvdcxqtf,0.798,0.53,0.281,0.0,0.0928,-8.274,122.442,0.341
99,Conan Gray,Superache,People Watching,3TFoEJe5zNuHZStRboWPxg,0.381,0.53,0.592,0.0,0.294,-7.281,125.721,0.544
